WAGE,AGE,RACE,STATUS,AREA,GENDER,EDUCATION
562913,27,WHITE,MARRIED,URBAN,MALE,14
562913,69,WHITE,SINGLE,RURAL,MALE,16
487716,17,WHITE,SINGLE,RURAL,MALE,8
487716,68,WHITE,MARRIED,URBAN,MALE,14
487716,26,OTHER,SINGLE,URBAN,MALE,20
487716,68,OTHER,MARRIED,URBAN,MALE,20
487716,43,WHITE,MARRIED,URBAN,MALE,16
486607,45,WHITE,MARRIED,URBAN,FEMALE,16
480607,43,WHITE,MARRIED,URBAN,FEMALE,20
480607,67,WHITE,MARRIED,URBAN,FEMALE,16
480607,42,WHITE,MARRIED,URBAN,FEMALE,20
480607,36,WHITE,MARRIED,URBAN,FEMALE,20
480607,35,WHITE,SINGLE,URBAN,FEMALE,20
480607,54,WHITE,SINGLE,URBAN,FEMALE,16
443501,46,BlACK,MARRIED,URBAN,MALE,14
443501,63,BlACK,SINGLE,URBAN,MALE,6
443501,57,BlACK,MARRIED,URBAN,MALE,20
443501,20,BlACK,MARRIED,URBAN,MALE,8
443501,50,BlACK,SINGLE,URBAN,MALE,16
420823,56,WHITE,MARRIED,URBAN,MALE,20
392323,41,WHITE,MARRIED,URBAN,MALE,20
390823,41,WHITE,MARRIED,RURAL,MALE,16
390823,45,WHITE,MARRIED,RURAL,MALE,16
390823,58,WHITE,MARRIED,URBAN,MALE,14
390823,41,WHITE,MARRIED,URBAN,MALE,20
390823,53,WHITE,MARRIED,URBAN,MALE,16
390823,56,WHITE,MARRIED,URBAN,MALE,20
390823,39,WHITE,MARRIED,URBAN,MALE,20
390823,45,WHITE,MARRIED,URBAN,MALE,20
390823,49,WHITE,SINGLE,URBAN,MALE,14
390823,40,WHITE,MARRIED,URBAN,MALE,20
390823,42,WHITE,MARRIED,URBAN,MALE,20
390823,42,WHITE,MARRIED,URBAN,MALE,20
390823,45,WHITE,MARRIED,URBAN,MALE,20
390823,45,WHITE,MARRIED,URBAN,MALE,20
390823,59,WHITE,SINGLE,URBAN,MALE,20
390823,51,WHITE,MARRIED,URBAN,MALE,20
390823,53,WHITE,SINGLE,URBAN,MALE,20
390823,40,WHITE,MARRIED,RURAL,MALE,14
390823,54,WHITE,MARRIED,URBAN,MALE,20
390823,40,WHITE,MARRIED,URBAN,MALE,20
390823,42,WHITE,MARRIED,URBAN,MALE,16
390823,36,WHITE,MARRIED,RURAL,MALE,20
390823,42,WHITE,MARRIED,URBAN,MALE,20
390823,33,WHITE,MARRIED,URBAN,MALE,20
390823,69,WHITE,MARRIED,URBAN,MALE,14
390823,57,WHITE,MARRIED,URBAN,MALE,20
390823,30,WHITE,MARRIED,RURAL,MALE,14
390823,47,WHITE,MARRIED,URBAN,MALE,20
390823,54,WHITE,MARRIED,URBAN,MALE,20
390823,41,WHITE,MARRIED,URBAN,MALE,20
390823,50,WHITE,MARRIED,URBAN,MALE,20
390823,35,WHITE,MARRIED,URBAN,MALE,20
390823,49,WHITE,MARRIED,URBAN,MALE,20
390823,47,WHITE,MARRIED,URBAN,MALE,20
390823,49,WHITE,MARRIED,URBAN,MALE,20
390823,46,WHITE,MARRIED,URBAN,MALE,20
390823,38,WHITE,MARRIED,URBAN,MALE,20
390823,69,WHITE,MARRIED,URBAN,MALE,14
390823,51,WHITE,MARRIED,URBAN,MALE,20
390823,46,WHITE,SINGLE,URBAN,MALE,20
390823,58,WHITE,MARRIED,URBAN,MALE,20
390823,54,WHITE,SINGLE,URBAN,MALE,20
390823,47,WHITE,MARRIED,URBAN,MALE,20
343880,47,WHITE,MARRIED,URBAN,FEMALE,20
343880,44,WHITE,MARRIED,URBAN,FEMALE,16
336975,36,BlACK,SINGLE,URBAN,FEMALE,20
291360,55,WHITE,MARRIED,URBAN,MALE,20
216360,45,WHITE,MARRIED,URBAN,MALE,16
200000,41,WHITE,MARRIED,URBAN,MALE,20
200000,39,WHITE,MARRIED,URBAN,MALE,20
200000,36,WHITE,SINGLE,URBAN,MALE,20
200000,56,OTHER,MARRIED,URBAN,FEMALE,20
200000,47,WHITE,MARRIED,URBAN,MALE,20
200000,39,BlACK,SINGLE,URBAN,FEMALE,20
200000,41,WHITE,MARRIED,URBAN,MALE,20
200000,54,WHITE,MARRIED,URBAN,MALE,20
200000,45,WHITE,SINGLE,URBAN,FEMALE,16
200000,38,WHITE,MARRIED,URBAN,MALE,20
200000,60,BlACK,MARRIED,URBAN,MALE,20
200000,42,BlACK,SINGLE,URBAN,FEMALE,20
200000,57,WHITE,MARRIED,URBAN,MALE,20
200000,56,WHITE,MARRIED,URBAN,MALE,20
200000,57,WHITE,MARRIED,URBAN,MALE,20
200000,62,WHITE,MARRIED,URBAN,MALE,20
200000,55,WHITE,MARRIED,URBAN,MALE,20
200000,41,WHITE,MARRIED,URBAN,MALE,20
200000,32,WHITE,MARRIED,URBAN,MALE,20
200000,34,WHITE,MARRIED,URBAN,MALE,20
200000,51,WHITE,MARRIED,URBAN,MALE,20
200000,36,WHITE,MARRIED,URBAN,MALE,20
200000,50,WHITE,MARRIED,URBAN,MALE,20
200000,38,WHITE,MARRIED,URBAN,MALE,16
200000,37,WHITE,MARRIED,URBAN,MALE,20
200000,39,WHITE,MARRIED,URBAN,MALE,20
196360,37,WHITE,MARRIED,URBAN,MALE,20
192500,57,WHITE,MARRIED,URBAN,MALE,20
190000,43,WHITE,MARRIED,URBAN,MALE,20
190000,46,WHITE,MARRIED,URBAN,MALE,20
190000,30,WHITE,SINGLE,URBAN,FEMALE,20
190000,50,WHITE,MARRIED,URBAN,MALE,20
190000,39,WHITE,MARRIED,RURAL,MALE,20
190000,25,WHITE,SINGLE,URBAN,FEMALE,20
190000,49,WHITE,SINGLE,URBAN,FEMALE,20
181360,47,WHITE,MARRIED,URBAN,MALE,16
180000,43,WHITE,MARRIED,URBAN,FEMALE,20
180000,47,OTHER,MARRIED,URBAN,MALE,20
180000,43,WHITE,SINGLE,URBAN,MALE,20
180000,57,WHITE,MARRIED,URBAN,FEMALE,20
180000,54,WHITE,MARRIED,URBAN,MALE,20
176000,44,BlACK,SINGLE,URBAN,MALE,16
175000,58,WHITE,MARRIED,RURAL,MALE,20
175000,43,WHITE,MARRIED,URBAN,FEMALE,20
171360,18,WHITE,SINGLE,URBAN,MALE,14
171360,46,WHITE,MARRIED,URBAN,MALE,16
170000,57,WHITE,MARRIED,URBAN,MALE,20
170000,34,WHITE,MARRIED,URBAN,MALE,20
169000,43,WHITE,MARRIED,URBAN,MALE,16
168000,50,OTHER,MARRIED,URBAN,MALE,20
167000,53,WHITE,MARRIED,URBAN,MALE,20
160000,60,WHITE,MARRIED,URBAN,FEMALE,20
160000,35,WHITE,MARRIED,RURAL,MALE,20
160000,58,WHITE,MARRIED,URBAN,FEMALE,20
160000,50,WHITE,MARRIED,URBAN,MALE,20
157000,49,WHITE,MARRIED,URBAN,MALE,16
155000,47,WHITE,MARRIED,URBAN,FEMALE,20
155000,38,WHITE,MARRIED,URBAN,MALE,20
155000,54,WHITE,MARRIED,RURAL,MALE,20
155000,60,WHITE,MARRIED,URBAN,MALE,20
154000,40,WHITE,MARRIED,URBAN,MALE,20
154000,27,WHITE,MARRIED,URBAN,MALE,20
153194,49,WHITE,MARRIED,URBAN,MALE,20
153000,40,WHITE,MARRIED,URBAN,MALE,20
151360,35,WHITE,MARRIED,URBAN,MALE,20
151360,31,WHITE,MARRIED,URBAN,MALE,20
150000,63,WHITE,MARRIED,URBAN,MALE,14
150000,55,OTHER,MARRIED,URBAN,MALE,20
150000,43,WHITE,MARRIED,URBAN,MALE,20
150000,47,OTHER,MARRIED,URBAN,MALE,20
150000,40,WHITE,MARRIED,URBAN,MALE,16
150000,50,WHITE,MARRIED,URBAN,MALE,20
150000,47,WHITE,MARRIED,URBAN,MALE,20
150000,41,WHITE,SINGLE,URBAN,MALE,20
150000,41,OTHER,MARRIED,URBAN,MALE,20
150000,35,WHITE,MARRIED,URBAN,MALE,14
150000,54,WHITE,MARRIED,URBAN,MALE,16
150000,36,WHITE,MARRIED,URBAN,MALE,20
150000,45,WHITE,SINGLE,RURAL,MALE,16
150000,50,WHITE,MARRIED,URBAN,MALE,20
150000,21,WHITE,SINGLE,URBAN,MALE,14
150000,62,WHITE,MARRIED,URBAN,FEMALE,14
150000,41,WHITE,MARRIED,URBAN,MALE,20
150000,48,WHITE,MARRIED,URBAN,MALE,16
150000,31,WHITE,MARRIED,URBAN,MALE,20
146360,39,WHITE,MARRIED,URBAN,MALE,20
146000,37,WHITE,MARRIED,URBAN,MALE,20
145000,36,WHITE,SINGLE,URBAN,FEMALE,20
145000,50,BlACK,SINGLE,URBAN,MALE,20
145000,31,WHITE,MARRIED,URBAN,MALE,20
144000,20,WHITE,SINGLE,URBAN,MALE,12
143500,31,WHITE,MARRIED,URBAN,FEMALE,20
142000,41,WHITE,MARRIED,URBAN,MALE,20
142000,39,WHITE,MARRIED,URBAN,MALE,20
141360,51,WHITE,MARRIED,RURAL,MALE,14
141360,36,WHITE,MARRIED,URBAN,MALE,16
140000,45,WHITE,MARRIED,URBAN,MALE,20
140000,35,WHITE,MARRIED,URBAN,FEMALE,20
140000,40,OTHER,MARRIED,URBAN,MALE,20
140000,65,WHITE,MARRIED,URBAN,MALE,20
140000,41,OTHER,MARRIED,URBAN,FEMALE,20
140000,35,WHITE,SINGLE,URBAN,MALE,16
140000,35,WHITE,MARRIED,URBAN,MALE,20
140000,56,WHITE,MARRIED,URBAN,MALE,20
140000,60,WHITE,MARRIED,URBAN,MALE,20
140000,36,OTHER,MARRIED,URBAN,MALE,20
136860,28,WHITE,SINGLE,URBAN,MALE,20
136340,62,WHITE,MARRIED,URBAN,MALE,20
136001,41,WHITE,MARRIED,URBAN,MALE,20
135000,47,WHITE,MARRIED,URBAN,MALE,20
135000,37,OTHER,MARRIED,URBAN,MALE,20
135000,32,WHITE,MARRIED,URBAN,MALE,20
135000,39,WHITE,MARRIED,URBAN,MALE,20
135000,45,WHITE,MARRIED,URBAN,FEMALE,20
133000,55,WHITE,MARRIED,RURAL,FEMALE,16
131520,21,WHITE,SINGLE,URBAN,FEMALE,16
131520,56,WHITE,MARRIED,URBAN,FEMALE,20
131401,57,WHITE,SINGLE,URBAN,MALE,20
131360,24,OTHER,SINGLE,URBAN,MALE,14
130000,54,WHITE,MARRIED,RURAL,MALE,20
130000,46,WHITE,MARRIED,URBAN,MALE,20
130000,33,WHITE,MARRIED,URBAN,MALE,20
130000,48,WHITE,MARRIED,URBAN,MALE,16
130000,43,WHITE,MARRIED,URBAN,MALE,16
130000,40,WHITE,MARRIED,URBAN,MALE,14
130000,44,WHITE,MARRIED,URBAN,MALE,20
130000,42,WHITE,MARRIED,URBAN,MALE,20
130000,45,WHITE,MARRIED,URBAN,MALE,20
130000,51,WHITE,MARRIED,URBAN,MALE,20
130000,57,WHITE,MARRIED,URBAN,MALE,20
130000,50,WHITE,MARRIED,URBAN,FEMALE,20
130000,33,WHITE,MARRIED,URBAN,MALE,20
130000,51,WHITE,SINGLE,URBAN,MALE,20
130000,40,WHITE,MARRIED,URBAN,MALE,20
130000,43,WHITE,MARRIED,URBAN,MALE,20
130000,55,WHITE,MARRIED,URBAN,MALE,20
130000,37,WHITE,MARRIED,URBAN,MALE,20
130000,44,WHITE,MARRIED,URBAN,MALE,20
130000,68,WHITE,MARRIED,URBAN,MALE,16
127500,34,WHITE,SINGLE,URBAN,MALE,20
127000,58,WHITE,MARRIED,URBAN,FEMALE,20
127000,33,WHITE,MARRIED,URBAN,FEMALE,20
125360,32,WHITE,MARRIED,RURAL,MALE,20
125255,46,WHITE,SINGLE,URBAN,FEMALE,14
125000,59,WHITE,SINGLE,RURAL,FEMALE,20
125000,46,WHITE,MARRIED,URBAN,MALE,20
125000,61,WHITE,MARRIED,URBAN,MALE,20
125000,51,WHITE,MARRIED,URBAN,MALE,20
125000,34,WHITE,MARRIED,URBAN,FEMALE,20
125000,45,WHITE,MARRIED,URBAN,MALE,20
125000,28,WHITE,MARRIED,URBAN,MALE,20
125000,55,WHITE,MARRIED,URBAN,MALE,20
124000,31,WHITE,MARRIED,URBAN,MALE,16
123360,52,WHITE,MARRIED,RURAL,MALE,16
123000,38,WHITE,MARRIED,URBAN,MALE,20
122000,38,WHITE,SINGLE,URBAN,FEMALE,20
121500,59,WHITE,MARRIED,URBAN,MALE,20
121360,50,WHITE,MARRIED,URBAN,MALE,20
120000,42,WHITE,MARRIED,URBAN,MALE,20
120000,39,WHITE,MARRIED,URBAN,FEMALE,20
120000,59,OTHER,MARRIED,URBAN,MALE,20
120000,33,WHITE,MARRIED,URBAN,MALE,20
120000,39,WHITE,MARRIED,URBAN,MALE,20
120000,47,WHITE,MARRIED,URBAN,MALE,20
120000,35,WHITE,MARRIED,URBAN,MALE,20
120000,64,OTHER,MARRIED,URBAN,MALE,20
120000,32,WHITE,MARRIED,URBAN,MALE,20
120000,46,WHITE,MARRIED,URBAN,MALE,20
120000,35,WHITE,MARRIED,URBAN,MALE,20
120000,51,WHITE,MARRIED,URBAN,MALE,20
120000,36,WHITE,MARRIED,URBAN,MALE,20
120000,57,WHITE,MARRIED,URBAN,MALE,20
120000,40,WHITE,SINGLE,RURAL,MALE,20
120000,52,WHITE,MARRIED,URBAN,MALE,20
